Categoria: Todas as categorias

Mês,quantum computing: (Mundo)
2015-01,6
2015-02,6
2015-03,6
2015-04,6
2015-05,8
2015-06,6
2015-07,5
2015-08,6
2015-09,8
2015-10,9
2015-11,8
2015-12,11
2016-01,6
2016-02,5
2016-03,6
2016-04,17
2016-05,12
2016-06,6
2016-07,6
2016-08,7
2016-09,7
2016-10,7
2016-11,7
2016-12,7
2017-01,7
2017-02,11
2017-03,10
2017-04,8
2017-05,9
2017-06,7
2017-07,9
2017-08,8
2017-09,12
2017-10,13
2017-11,15
2017-12,14
2018-01,13
2018-02,13
2018-03,14
2018-04,12
2018-05,11
2018-06,10
2018-07,11
2018-08,11
2018-09,12
2018-10,13
2018-11,12
2018-12,12
2019-01,13
2019-02,13
2019-03,13
2019-04,11
2019-05,11
2019-06,12
2019-07,11
2019-08,12
2019-09,16
2019-10,27
2019-11,18
2019-12,15
2020-01,16
2020-02,17
2020-03,13
2020-04,13
2020-05,14
2020-06,14
2020-07,14
2020-08,15
2020-09,16
2020-10,12
2020-11,12
2020-12,16
2021-01,15
2021-02,17
2021-03,18
2021-04,17
2021-05,16
2021-06,18
2021-07,14
2021-08,16
2021-09,17
2021-10,14
2021-11,19
2021-12,15
2022-01,18
2022-02,18
2022-03,19
2022-04,19
2022-05,17
2022-06,18
2022-07,22
2022-08,21
2022-09,20
2022-10,20
2022-11,21
2022-12,19
2023-01,22
2023-02,25
2023-03,22
2023-04,21
2023-05,24
2023-06,24
2023-07,25
2023-08,26
2023-09,23
2023-10,24
2023-11,23
2023-12,29
2024-01,25
2024-02,31
2024-03,31
2024-04,27
2024-05,26
2024-06,23
2024-07,23
2024-08,23
2024-09,27
2024-10,30
2024-11,37
2024-12,100
